id,neighbourhood,price,,,,,,,,,,,,,,,,,,
20872145,Roslindale,60.00,,,,,,,,,,,,,,,,,,
13937181,Roslindale,45.00,,,,,,,,,,,,,,,,,,
3575220,Roslindale,50.00,,,,,,,,,,,,,,,,,,
17419858,Roslindale,65.00,,,,,,,,,,,,,,,,,,
18202496,Roslindale,56.00,,,,,,,,,,,,,,,,,,
16987125,Roslindale,69.00,,,,,,,,,,,,,,,,,,
1668313,Roslindale,53.00,,,,,,,,,,,,,,,,,,
13768853,Roslindale,50.00,,,,,,,,,,,,,,,,,,
19248168,Roslindale,86.00,,,,,,,,,,,,,,,,,,
849408,Roslindale,239.00,,,,,,,,,,,,,,,,,,
12386020,Roslindale,75.00,,,,,,,,,,,,,,,,,,
225979,Roslindale,59.00,,,,,,,,,,,,,,,,,,
21096625,Roslindale,29.00,,,,,,,,,,,,,,,,,,
225834,Roslindale,70.00,,,,,,,,,,,,,,,,,,
3420384,Roslindale,155.00,,,,,,,,,,,,,,,,,,
20902319,Roslindale,59.00,,,,,,,,,,,,,,,,,,
13318522,Roslindale,261.00,,,,,,,,,,,,,,,,,,
8548176,Roslindale,150.00,,,,,,,,,,,,,,,,,,
20649310,Roslindale,60.00,,,,,,,,,,,,,,,,,,
753446,Roslindale,58.00,,,,,,,,,,,,,,,,,,
7651065,Roslindale,68.00,,,,,,,,,,,,,,,,,,
5884429,Roslindale,140.00,,,,,,,,,,,,,,,,,,
12535687,Roslindale,125.00,,,,,,,,,,,,,,,,,,
7093109,Roslindale,175.00,,,,,,,,,,,,,,,,,,
15217781,Roslindale,65.00,,,,,,,,,,,,,,,,,,
18085704,Roslindale,50.00,,,,,,,,,,,,,,,,,,
15954650,Roslindale,37.00,,,,,,,,,,,,,,,,,,
20673030,Roslindale,96.00,,,,,,,,,,,,,,,,,,
12023024,Roslindale,60.00,,,,,,,,,,,,,,,,,,
4461111,Roslindale,50.00,,,,,,,,,,,,,,,,,,
7252607,Roslindale,50.00,,,,,,,,,,,,,,,,,,
13547301,Roslindale,125.00,,,,,,,,,,,,,,,,,,
5434353,Roslindale,125.00,,,,,,,,,,,,,,,,,,
2583074,Roslindale,50.00,,,,,,,,,,,,,,,,,,
9218312,Roslindale,75.00,,,,,,,,,,,,,,,,,,
17574145,Roslindale,82.00,,,,,,,,,,,,,,,,,,
14690527,Roslindale,150.00,,,,,,,,,,,,,,,,,,
18016452,Roslindale,54.00,,,,,,,,,,,,,,,,,,
19212437,Roslindale,69.00,,,,,,,,,,,,,,,,,,
10116095,Roslindale,115.00,,,,,,,,,,,,,,,,,,
6400432,Roslindale,150.00,,,,,,,,,,,,,,,,,,
15935306,Roslindale,50.00,,,,,,,,,,,,,,,,,,
19965562,Roslindale,148.00,,,,,,,,,,,,,,,,,,
5498472,Roslindale,175.00,,,,,,,,,,,,,,,,,,
894539,Roslindale,95.00,,,,,,,,,,,,,,,,,,
1861070,Roslindale,75.00,,,,,,,,,,,,,,,,,,
6513924,Roslindale,55.00,,,,,,,,,,,,,,,,,,
20997260,Roslindale,29.00,,,,,,,,,,,,,,,,,,
7086825,Roslindale,50.00,,,,,,,,,,,,,,,,,,
19702475,Roslindale,85.00,,,,,,,,,,,,,,,,,,
3075044,Roslindale,65.00,,,,,,,,,,,,,,,,,,
9380145,Roslindale,85.00,,,,,,,,,,,,,,,,,,
19914995,Roslindale,209.00,,,,,,,,,,,,,,,,,,
6069883,Roslindale,65.00,,,,,,,,,,,,,,,,,,
12147973,Roslindale,250.00,,,,,,,,,,,,,,,,,,
1810172,Roslindale,67.00,,,,,,,,,,,,,,,,,,
4922204,Roslindale,200.00,,,,,,,,,,,,,,,,,,
21126044,Roslindale,29.00,,,,,,,,,,,,,,,,,,
6976,Roslindale,65.00,,,,,,,,,,,,,,,,,,
20978478,Roslindale,65.00,,,,,,,,,,,,,,,,,,
4085362,Roslindale,85.00,,,,,,,,,,,,,,,,,,
18175604,Roslindale,39.00,,,,,,,,,,,,,,,,,,
17471070,Roslindale,100.00,,,,,,,,,,,,,,,,,,
18388452,Roslindale,50.00,,,,,,,,,,,,,,,,,,
5706985,Roslindale,100.00,,,,,,,,,,,,,,,,,,
15193504,Roslindale,62.00,,,,,,,,,,,,,,,,,,
18912111,Roslindale,60.00,,,,,,,,,,,,,,,,,,
21107821,Roslindale,200.00,,,,,,,,,,,,,,,,,,
15864923,Roslindale,125.00,,,,,,,,,,,,,,,,,,
1724900,Roslindale,141.00,,,,,,,,,,,,,,,,,,
16272709,Roslindale,105.00,,,,,,,,,,,,,,,,,,
18181482,Roslindale,150.00,,,,,,,,,,,,,,,,,,
20207694,Roslindale,147.00,,,,,,,,,,,,,,,,,,
21189065,Roslindale,75.00,,,,,,,,,,,,,,,,,,
17382859,Roslindale,200.00,,,,,,,,,,,,,,,,,,
3968797,Roslindale,85.00,,,,,,,,,,,,,,,,,,
1494726,Roslindale,75.00,,,,,,,,,,,,,,,,,,
3755609,Roslindale,72.00,,,,,,,,,,,,,,,,,,
15099163,Roslindale,79.00,,,,,,,,,,,,,,,,,,
18254869,Roslindale,150.00,,,,,,,,,,,,,,,,,,
21154569,Roslindale,49.00,,,,,,,,,,,,,,,,,,
15616726,Roslindale,150.00,,,,,,,,,,,,,,,,,,
19073668,Roslindale,49.00,,,,,,,,,,,,,,,,,,
19991354,Roslindale,90.00,,,,,,,,,,,,,,,,,,
3229255,Roslindale,125.00,,,,,,,,,,,,,,,,,,
18194673,Roslindale,50.00,,,,,,,,,,,,,,,,,,
18580155,Roslindale,225.00,,,,,,,,,,,,,,,,,,
1721016,Roslindale,106.00,,,,,,,,,,,,,,,,,,
19327752,Roslindale,31.00,,,,,,,,,,,,,,,,,,
12927298,Roslindale,285.00,,,,,,,,,,,,,,,,,,
18790023,Roslindale,55.00,,,,,,,,,,,,,,,,,,
7482195,Roslindale,50.00,,,,,,,,,,,,,,,,,,
6603827,Roslindale,59.00,,,,,,,,,,,,,,,,,,
16172058,Roslindale,95.00,,,,,,,,,,,,,,,,,,
2843445,Roslindale,85.00,,,,,,,,,,,,,,,,,,
16892278,Roslindale,199.00,,,,,,,,,,,,,,,,,,
40601,Jamaica Plain,95.00,,,,,,,,,,,,,,,,,,
20406376,Jamaica Plain,55.00,,,,,,,,,,,,,,,,,,
19102964,Jamaica Plain,95.00,,,,,,,,,,,,,,,,,,
19294099,Jamaica Plain,58.00,,,,,,,,,,,,,,,,,,
6862594,Jamaica Plain,60.00,,,,,,,,,,,,,,,,,,
17843922,Jamaica Plain,40.00,,,,,,,,,,,,,,,,,,
2798787,Jamaica Plain,75.00,,,,,,,,,,,,,,,,,,
2295530,Jamaica Plain,120.00,,,,,,,,,,,,,,,,,,
17476391,Jamaica Plain,67.00,,,,,,,,,,,,,,,,,,
19007014,Jamaica Plain,51.00,,,,,,,,,,,,,,,,,,
16125278,Jamaica Plain,64.00,,,,,,,,,,,,,,,,,,
2698996,Jamaica Plain,60.00,,,,,,,,,,,,,,,,,,
14868545,Jamaica Plain,110.00,,,,,,,,,,,,,,,,,,
6248970,Jamaica Plain,65.00,,,,,,,,,,,,,,,,,,
20015244,Jamaica Plain,90.00,,,,,,,,,,,,,,,,,,
19103076,Jamaica Plain,155.00,,,,,,,,,,,,,,,,,,
10883063,Jamaica Plain,95.00,,,,,,,,,,,,,,,,,,
4015972,Jamaica Plain,60.00,,,,,,,,,,,,,,,,,,
18802946,Jamaica Plain,92.00,,,,,,,,,,,,,,,,,,
6238463,Jamaica Plain,95.00,,,,,,,,,,,,,,,,,,
4586681,Jamaica Plain,90.00,,,,,,,,,,,,,,,,,,
6730758,Jamaica Plain,120.00,,,,,,,,,,,,,,,,,,
12855343,Jamaica Plain,50.00,,,,,,,,,,,,,,,,,,
10253591,Jamaica Plain,105.00,,,,,,,,,,,,,,,,,,
15149497,Jamaica Plain,89.00,,,,,,,,,,,,,,,,,,
19102461,Jamaica Plain,95.00,,,,,,,,,,,,,,,,,,
12874603,Jamaica Plain,70.00,,,,,,,,,,,,,,,,,,
8272350,Jamaica Plain,99.00,,,,,,,,,,,,,,,,,,
12824498,Jamaica Plain,70.00,,,,,,,,,,,,,,,,,,
12789527,Jamaica Plain,90.00,,,,,,,,,,,,,,,,,,
5025015,Jamaica Plain,175.00,,,,,,,,,,,,,,,,,,
6602217,Jamaica Plain,130.00,,,,,,,,,,,,,,,,,,
4149974,Jamaica Plain,110.00,,,,,,,,,,,,,,,,,,
20623854,Jamaica Plain,70.00,,,,,,,,,,,,,,,,,,
21217225,Jamaica Plain,0.00,,,,,,,,,,,,,,,,,,
8932377,Jamaica Plain,90.00,,,,,,,,,,,,,,,,,,
7910223,Jamaica Plain,160.00,,,,,,,,,,,,,,,,,,
2963419,Jamaica Plain,75.00,,,,,,,,,,,,,,,,,,
6602167,Jamaica Plain,168.00,,,,,,,,,,,,,,,,,,
20053362,Jamaica Plain,169.00,,,,,,,,,,,,,,,,,,
16266043,Jamaica Plain,100.00,,,,,,,,,,,,,,,,,,
8354938,Jamaica Plain,192.00,,,,,,,,,,,,,,,,,,
17249794,Jamaica Plain,113.00,,,,,,,,,,,,,,,,,,
1109224,Jamaica Plain,439.00,,,,,,,,,,,,,,,,,,
8879352,Jamaica Plain,100.00,,,,,,,,,,,,,,,,,,
17451062,Jamaica Plain,147.00,,,,,,,,,,,,,,,,,,
20050570,Jamaica Plain,119.00,,,,,,,,,,,,,,,,,,
20051917,Jamaica Plain,130.00,,,,,,,,,,,,,,,,,,
19656368,Jamaica Plain,135.00,,,,,,,,,,,,,,,,,,
20053152,Jamaica Plain,170.00,,,,,,,,,,,,,,,,,,
2621242,Jamaica Plain,110.00,,,,,,,,,,,,,,,,,,
20053494,Jamaica Plain,175.00,,,,,,,,,,,,,,,,,,
554720,Jamaica Plain,240.00,,,,,,,,,,,,,,,,,,
14057466,Jamaica Plain,150.00,,,,,,,,,,,,,,,,,,
17710012,Jamaica Plain,160.00,,,,,,,,,,,,,,,,,,
2880944,Jamaica Plain,185.00,,,,,,,,,,,,,,,,,,
19545217,Jamaica Plain,60.00,,,,,,,,,,,,,,,,,,
17838605,Jamaica Plain,110.00,,,,,,,,,,,,,,,,,,
