id,property_type,room_type,accommodates,bathrooms,bedrooms,beds
14057466,Apartment,Entire home/apt,4,1,2,2
17710012,Apartment,Entire home/apt,6,1,3,3
2880944,Apartment,Entire home/apt,4,2,2,2
19545217,Condominium,Private room,2,1,1,1
17838605,House,Private room,2,1,1,2
13513012,Apartment,Private room,2,1,1,1
19430766,Apartment,Private room,4,1.5,2,2
20885932,Condominium,Private room,2,1,1,1
19911540,Apartment,Private room,2,1,1,1
1881298,House,Private room,2,1,1,1
20639600,Apartment,Private room,2,1,1,1
1030500,Apartment,Private room,2,1,1,1
15432250,Apartment,Private room,1,1,1,1
11826815,Condominium,Private room,1,1,1,1
2014651,Apartment,Private room,2,1,1,1
519272,Apartment,Private room,2,1.5,1,1
12566065,Apartment,Private room,2,1,1,1
732932,Apartment,Private room,2,1,1,1
21213790,House,Entire home/apt,4,1,2,2
14105971,Apartment,Entire home/apt,2,1,0,1
1113272,Apartment,Entire home/apt,4,1,2,2
10059572,House,Entire home/apt,4,1,2,2
4567815,Apartment,Entire home/apt,3,1,2,1
6106955,Condominium,Entire home/apt,5,1,2,2
16674124,House,Entire home/apt,8,2.5,5,5
19328794,Apartment,Entire home/apt,4,1,2,3
14531631,Apartment,Entire home/apt,4,1,1,2
12368012,House,Entire home/apt,6,2,3,4
6386351,Apartment,Entire home/apt,3,1,1,1
17296595,Apartment,Entire home/apt,4,1,3,5
7273770,Condominium,Entire home/apt,4,1,2,2
14909417,Condominium,Entire home/apt,7,1,3,5
19311820,House,Entire home/apt,9,3.5,4,5
3881993,Apartment,Entire home/apt,6,1,3,3
12071820,Apartment,Shared room,2,1,1,1
17675806,Apartment,Entire home/apt,4,1,2,2
16282250,Apartment,Private room,1,1,1,1
735970,Bed & Breakfast,Private room,2,1,1,1
950046,Apartment,Entire home/apt,6,2,3,3
3342094,Condominium,Entire home/apt,6,1,2,2
3593290,House,Entire home/apt,5,3.5,4,4
3997572,House,Private room,2,1,1,1
15869937,Apartment,Entire home/apt,5,2,2,3
14549157,Apartment,Entire home/apt,2,1,1,1
14991616,Apartment,Private room,2,1,1,1
447826,House,Private room,2,1,1,1
5521378,Apartment,Private room,2,1,1,1
15581154,Apartment,Entire home/apt,4,2,2,3
4000384,House,Private room,2,1,1,1
12419766,House,Private room,1,1,1,1
9485607,House,Entire home/apt,6,2,2,2
18857626,Condominium,Private room,2,1,1,1
18873614,Apartment,Entire home/apt,2,1,1,1
18358140,Apartment,Private room,2,1,1,1
3079305,Apartment,Entire home/apt,4,1,2,2
7287822,Apartment,Entire home/apt,4,1,1,4
10271867,Apartment,Private room,2,1,1,1
7879708,Condominium,Private room,2,1,1,1
16891720,Condominium,Entire home/apt,4,1,2,2
9057435,Apartment,Entire home/apt,6,1,3,3
5601743,House,Private room,2,1,1,1
13334098,House,Entire home/apt,5,2,4,3
20035860,House,Private room,2,1,1,1
799701,Apartment,Entire home/apt,8,1.5,4,4
4405982,Apartment,Entire home/apt,8,2,4,4
20888247,Condominium,Private room,2,1,1,1
7708436,House,Private room,2,1,1,1
14071446,Apartment,Private room,2,1,1,2
4765070,House,Entire home/apt,2,1,0,1
18955871,Condominium,Entire home/apt,4,1,2,2
16119921,Apartment,Private room,2,1,1,1
19346178,Apartment,Entire home/apt,4,1,2,2
19100282,House,Entire home/apt,8,3.5,4,4
13344433,House,Entire home/apt,4,1,2,1
5652147,House,Entire home/apt,7,2,3,4
19589363,Apartment,Entire home/apt,5,2,2,1
13333862,Apartment,Private room,3,1,1,1
20051287,Apartment,Entire home/apt,3,1,0,1
9532771,Apartment,Private room,2,1,1,1
20493376,Apartment,Entire home/apt,5,2,2,2
13865867,House,Private room,2,1,1,1
5212321,House,Entire home/apt,5,1.5,2,3
14086550,Apartment,Entire home/apt,2,1,1,1
21111456,Apartment,Private room,1,1,1,1
210097,Guest suite,Entire home/apt,2,1,1,1
9057418,Guesthouse,Private room,2,1,1,1
594693,Apartment,Private room,2,1,1,1
1929406,House,Entire home/apt,6,1,4,4
4583526,Apartment,Entire home/apt,9,2,4,4
19590968,Apartment,Entire home/apt,5,2,2,1
9137560,Apartment,Private room,2,1,1,1
19361786,Other,Private room,1,1,0,1
17772521,House,Private room,1,1,1,1
5124772,House,Entire home/apt,10,2.5,5,5
19951509,Other,Private room,1,1,0,1
732999,Apartment,Entire home/apt,4,1,2,2
19696922,Apartment,Entire home/apt,3,1,1,1
8908145,Guest suite,Private room,2,1,0,1
19836161,Apartment,Private room,2,1,1,1
19655883,Apartment,Entire home/apt,3,1,1,1
4025194,Apartment,Private room,2,1,1,1
20540368,Apartment,Entire home/apt,4,1,2,2
18263612,Apartment,Entire home/apt,3,1,1,1
20359898,Apartment,Entire home/apt,4,1,1,2
19655359,Apartment,Entire home/apt,3,1,0,1
8923817,House,Entire home/apt,2,1,1,1
9676551,Apartment,Private room,2,1,1,1
6990904,House,Private room,2,2,1,1
3730447,Apartment,Entire home/apt,4,1,2,2
568234,House,Private room,4,1,2,2
9549850,Apartment,Entire home/apt,2,1,1,1
16362002,Apartment,Entire home/apt,8,1.5,4,5
9349646,Apartment,Private room,2,1,1,1
9349614,Apartment,Entire home/apt,4,1,2,2
13652374,Apartment,Private room,1,1,1,1
9590679,Condominium,Private room,1,1,1,1
13137300,Apartment,Private room,2,1,1,1
16494984,Apartment,Private room,2,1,1,1
20572354,House,Entire home/apt,6,2,3,3
7956634,Condominium,Private room,2,1,1,1
20784807,Apartment,Entire home/apt,6,1,3,4
13363171,Apartment,Entire home/apt,2,1,1,1
4223387,House,Private room,2,1,1,2
14868157,Bed & Breakfast,Private room,1,1.5,1,1
10627514,House,Private room,2,2,1,1
20998585,Apartment,Entire home/apt,6,1,3,3
20052971,Apartment,Entire home/apt,3,1,1,1
12052288,Apartment,Entire home/apt,5,1,1,3
9212213,Condominium,Private room,2,1,3,2
1885825,House,Private room,3,1,1,2
19588926,Apartment,Entire home/apt,3,1,1,1
9591772,Apartment,Entire home/apt,4,1.5,2,2
16770690,Apartment,Entire home/apt,6,1,2,4
17524373,Apartment,Entire home/apt,4,1,2,4
1058448,Apartment,Private room,2,1,1,1
26160,Apartment,Private room,3,1,1,2
3156111,Apartment,Private room,2,1,1,1
10004575,Apartment,Entire home/apt,6,1,3,5
9575439,House,Private room,2,1,1,1
16132162,Apartment,Private room,2,1,1,1
8720718,House,Private room,2,1,1,1
12888054,Condominium,Entire home/apt,6,1,2,3
6465075,Condominium,Entire home/apt,10,2,5,6
10921540,Condominium,Entire home/apt,2,1,1,1
20754696,Guest suite,Entire home/apt,2,1,0,1
4105704,House,Entire home/apt,2,1,1,1
17147334,Apartment,Entire home/apt,4,1,1,2
8283433,Apartment,Entire home/apt,7,1,2,5
20817162,House,Private room,2,1,1,1
12855005,House,Private room,2,2,1,1
1631942,Condominium,Entire home/apt,2,1,1,1
10299047,Apartment,Entire home/apt,5,1,2,3
1222327,House,Entire home/apt,4,2,2,2
9463444,Apartment,Entire home/apt,3,1,0,2
21062843,House,Private room,2,1,1,1
20773742,House,Entire home/apt,5,1,2,2
336946,House,Entire home/apt,3,1,1,2
19571817,Townhouse,Entire home/apt,7,1.5,2,5
20732926,Apartment,Private room,1,1,1,1
5874408,House,Private room,2,1,1,1
15584456,Apartment,Private room,2,1,1,1
9971054,Apartment,Private room,2,1,1,1
6104388,Condominium,Entire home/apt,6,2,2,2
4792901,House,Private room,2,1,1,1
14573951,Apartment,Entire home/apt,4,1,2,2
18637173,Condominium,Private room,2,1,1,1
15213580,Condominium,Private room,2,1,1,1
20170239,Apartment,Entire home/apt,2,1,1,1
17523630,Apartment,Entire home/apt,4,1,1,3
713627,House,Entire home/apt,2,1.5,1,1
15917321,Apartment,Entire home/apt,6,1,2,3
10494118,Apartment,Entire home/apt,6,1,2,3
18112658,Apartment,Entire home/apt,2,1,1,1
197972,House,Entire home/apt,3,1,1,1
13426831,Condominium,Private room,2,1,1,1
15147053,Condominium,Entire home/apt,3,1.5,1,1
1552406,Apartment,Entire home/apt,3,1,2,3
750438,Apartment,Private room,2,1,1,1
13640138,Apartment,Private room,3,1,1,1
18325923,Condominium,Private room,2,1,1,1
2875267,Apartment,Entire home/apt,2,1,0,1
19174144,Condominium,Entire home/apt,4,1,2,1
18786789,Condominium,Entire home/apt,4,1,1,2
19111535,Apartment,Entire home/apt,5,1,2,3
6298216,Apartment,Entire home/apt,6,1,3,3
21175841,Apartment,Private room,1,1,1,1
14474750,Guest suite,Private room,6,1,2,3
15429538,House,Private room,2,2,1,1
6921672,Apartment,Entire home/apt,4,2,2,2
1301822,Townhouse,Entire home/apt,4,2.5,3,3
6053700,House,Entire home/apt,6,3,3,6
11553697,Apartment,Entire home/apt,4,1,2,2
19209936,Apartment,Entire home/apt,6,1,2,3
17807912,Apartment,Entire home/apt,4,1,1,3
728238,Apartment,Shared room,2,1,1,1
20520099,Apartment,Private room,2,1,1,1
20038847,Apartment,Entire home/apt,6,1,3,3
19651694,House,Entire home/apt,2,2,1,1
6019555,Townhouse,Private room,2,1.5,1,2
7986179,Apartment,Entire home/apt,2,1,1,1
4430821,Apartment,Entire home/apt,4,1,2,2
2219399,Apartment,Private room,2,1,1,1
1187188,Loft,Entire home/apt,4,1,2,4
3693850,Condominium,Private room,1,1,1,1
7789429,Apartment,Entire home/apt,5,1,2,3
957224,House,Entire home/apt,8,1,3,4
3021862,House,Private room,2,1,1,1
3988018,Apartment,Private room,2,1,1,2
13600618,Apartment,Private room,1,1,1,1
14260905,Apartment,Entire home/apt,5,1,2,3
1956275,Apartment,Entire home/apt,6,1.5,3,3
3987926,Apartment,Private room,2,1,1,1
4119345,House,Entire home/apt,8,2.5,3,3
8160295,Apartment,Private room,3,1,1,1
9459945,Apartment,Private room,2,1,1,1
1071235,Apartment,Entire home/apt,2,1,1,1
2365632,Apartment,Entire home/apt,4,1,2,2
14415125,Condominium,Entire home/apt,5,1,2,2
4233242,Apartment,Private room,2,1,1,1
5969920,Apartment,Private room,2,1,1,1
3905508,House,Entire home/apt,2,1,1,1
5101552,Apartment,Entire home/apt,4,1,2,2
8067585,Apartment,Private room,2,1,1,1
4348422,Apartment,Private room,2,2,1,1
1136972,Apartment,Private room,2,1,1,1
1628130,House,Entire home/apt,10,3.5,4,7
169938,Apartment,Entire home/apt,4,1,1,1
743211,House,Entire home/apt,10,2.5,4,6
5166870,Apartment,Entire home/apt,4,1,2,2
777903,House,Private room,2,,1,1
14246616,Apartment,Private room,2,1,1,1
4838985,Apartment,Entire home/apt,5,1,2,2
4331214,House,Private room,1,1,1,1
13621476,Apartment,Private room,2,2,1,1
10163454,House,Private room,2,1,1,1
349409,House,Entire home/apt,9,2,4,6
50032,Apartment,Entire home/apt,12,2,4,5
11739985,House,Entire home/apt,5,1,2,4
1692573,House,Entire home/apt,4,1,2,3
12932001,House,Entire home/apt,6,1.5,3,3
17666702,Condominium,Private room,2,1,1,1
18448985,Condominium,Private room,4,1,1,2
14161407,Condominium,Entire home/apt,4,1,2,2
13751426,Apartment,Private room,2,1,1,1
12997241,Apartment,Entire home/apt,3,2,2,2
14668276,House,Private room,2,2,1,2
4526315,House,Entire home/apt,11,3.5,5,5
381187,House,Entire home/apt,8,2.5,3,4
6764572,House,Private room,2,1,1,1
16536379,Townhouse,Private room,2,1.5,1,1
19590313,Apartment,Entire home/apt,3,1,1,1
18240259,Condominium,Private room,2,1,1,1
1528568,Condominium,Entire home/apt,6,1,2,3
3493840,Apartment,Private room,2,1,1,1
1167221,House,Private room,3,1,1,2
17158062,Apartment,Entire home/apt,9,1,3,4
16977823,Apartment,Private room,2,1,1,2
332225,House,Entire home/apt,6,2,4,3
496022,House,Private room,2,1,1,1
6693305,Apartment,Private room,2,1,1,1
19830344,Apartment,Entire home/apt,4,1,2,2
15338795,Condominium,Entire home/apt,4,1.5,2,3
16289538,Apartment,Private room,1,1,1,1
2592416,House,Entire home/apt,10,2.5,4,6
20205227,Apartment,Private room,2,1,1,1
19910241,Apartment,Private room,2,1,1,1
12602632,Other,Entire home/apt,5,2,2,2
15126054,House,Private room,5,1,2,3
5738018,Apartment,Entire home/apt,4,1,2,1
6065674,Apartment,Entire home/apt,8,2,4,4
12209652,Apartment,Entire home/apt,6,1,3,3
19568535,Apartment,Entire home/apt,5,1,2,3
14683493,Apartment,Entire home/apt,2,1,1,1
18812187,Apartment,Private room,1,1,1,1
5049582,Bed & Breakfast,Private room,2,1,1,1
3591359,Apartment,Entire home/apt,4,1,3,3
12209339,Apartment,Private room,2,1,1,1
20073664,Apartment,Private room,1,1,1,1
8981656,Bed & Breakfast,Private room,2,1,1,1
13110347,Apartment,Private room,2,1,1,1
19713115,Other,Entire home/apt,2,1,1,1
8801250,House,Private room,2,1,1,1
19696559,Apartment,Entire home/apt,3,1,1,1
9727523,House,Private room,2,1,1,1
12274601,Apartment,Private room,1,1,1,2
19450658,Apartment,Entire home/apt,3,1,0,1
6425318,Bed & Breakfast,Private room,2,1,1,1
2378421,House,Private room,2,1,1,2
17664717,Condominium,Entire home/apt,4,1,2,2
18612685,Apartment,Private room,2,1,1,1
2443944,House,Entire home/apt,5,2,3,3
12949270,Apartment,Private room,2,1,1,1
14469677,House,Private room,4,1,1,2
14109003,Condominium,Entire home/apt,4,1,2,4
13110084,Apartment,Private room,2,1,1,1
14682931,Bed & Breakfast,Private room,1,1.5,1,1
6862758,Apartment,Entire home/apt,5,1.5,2,3
19826935,Apartment,Entire home/apt,3,1,0,1
12781774,Apartment,Entire home/apt,2,1,0,1
1067184,Apartment,Private room,2,1,1,1
8931487,Apartment,Private room,2,1,1,1
8226982,Apartment,Private room,3,1,1,2
20088992,Other,Entire home/apt,2,1,0,2
12191871,House,Entire home/apt,4,1,2,2
14518405,Condominium,Entire home/apt,5,2,3,3
16779363,Townhouse,Entire home/apt,6,2.5,3,3
20482083,Condominium,Private room,1,1,1,1
11159585,House,Private room,2,3.5,1,2
4262255,Apartment,Private room,2,1,1,1
19330793,Apartment,Entire home/apt,2,1,1,1
7845607,House,Private room,1,1,1,1
12209147,Apartment,Private room,2,1,1,1
14501824,In-law,Entire home/apt,4,1,1,2
13584318,Apartment,Entire home/apt,3,1,2,2
17663849,Apartment,Entire home/apt,2,1,1,1
19695447,Apartment,Entire home/apt,3,1,0,1
4975581,Apartment,Entire home/apt,6,1,2,2
1754939,Townhouse,Entire home/apt,6,1.5,2,4
18155266,Apartment,Entire home/apt,2,1,0,1
2262752,Apartment,Private room,2,1,1,1
2031909,House,Private room,2,1,1,1
12190053,House,Entire home/apt,4,2,2,3
8521792,House,Private room,2,1,1,1
18810960,Apartment,Entire home/apt,8,1,3,5
15287975,Apartment,Entire home/apt,3,1,0,2
20928111,Apartment,Private room,1,1,1,1
17565296,House,Entire home/apt,6,1.5,3,3
19251462,Apartment,Private room,1,1.5,1,1
115936,Apartment,Entire home/apt,12,2,4,5
20882903,Apartment,Private room,1,1,1,1
10749312,House,Entire home/apt,5,1.5,3,4
27611,Apartment,Entire home/apt,2,1,1,1
8634599,House,Entire home/apt,2,1,1,1
19236205,Apartment,Shared room,2,1,1,1
20514129,Townhouse,Entire home/apt,4,2,2,2
1115394,Apartment,Private room,2,1,1,1
1885386,House,Private room,2,1,1,1
19842407,Apartment,Private room,2,1,1,1
4736217,Apartment,Private room,1,1,1,1
8275122,Apartment,Private room,2,1,1,1
20235208,Apartment,Private room,2,1,1,1
2033103,House,Private room,1,1,1,1
20743602,Apartment,Entire home/apt,2,1,0,1
5702292,House,Private room,2,1,1,1
5882411,Condominium,Private room,1,1,1,1
6914622,Condominium,Entire home/apt,2,1,1,1
19055159,Apartment,Private room,1,1,1,1
6291807,Apartment,Entire home/apt,4,1,2,2
1949996,Apartment,Entire home/apt,4,1,1,2
197727,Apartment,Private room,1,1,1,1
9110588,Apartment,Private room,2,1,1,1
17908743,Apartment,Private room,2,1,1,1
14566386,Apartment,Entire home/apt,3,1,2,3
11912139,Apartment,Private room,2,1,1,1
21152722,House,Private room,1,1,1,1
6390634,Condominium,Private room,2,1.5,1,1
16909100,Apartment,Entire home/apt,4,1,2,2
11370704,Condominium,Entire home/apt,6,2,2,2
16504000,Condominium,Entire home/apt,4,1,2,2
1704090,Apartment,Entire home/apt,2,1,0,1
13829133,Apartment,Entire home/apt,2,1,1,1
14254537,Condominium,Entire home/apt,3,2,1,1
7113260,Apartment,Private room,2,1,1,1
2754149,Apartment,Private room,2,1,1,1
11861063,House,Private room,3,1,1,2
19364110,Condominium,Private room,4,1,1,2
13658697,Apartment,Private room,2,1.5,1,1
1471373,Apartment,Private room,3,1,1,3
16380644,Apartment,Private room,1,1,0,1
20903293,Apartment,Private room,1,1,1,1
19100241,Apartment,Private room,1,1,1,1
9710673,Apartment,Private room,2,1,1,1
13565466,Apartment,Private room,2,1,1,2
5832127,Apartment,Private room,2,2,1,1
18912571,Apartment,Private room,1,1,1,1
12320063,Apartment,Private room,1,2,1,1
17543473,Apartment,Entire home/apt,7,1,3,3
20459710,Apartment,Entire home/apt,5,2,0,1
20351854,Apartment,Entire home/apt,5,2,2,2
15020486,Apartment,Entire home/apt,2,1,1,1
19455477,Apartment,Entire home/apt,3,1,1,1
7225376,Apartment,Private room,2,1.5,1,1
12608363,Apartment,Private room,1,1,1,1
15548410,Townhouse,Private room,2,1,1,1
20381047,Apartment,Entire home/apt,5,2,2,2
19873507,House,Private room,2,1,1,1
11827696,Loft,Private room,3,1,1,2
4625517,House,Private room,2,1,1,1
17070664,Apartment,Entire home/apt,6,1,1,3
20051513,Apartment,Entire home/apt,3,1,0,1
20351456,Apartment,Entire home/apt,5,2,2,2
6387077,Apartment,Entire home/apt,2,1,0,1
18979061,Apartment,Private room,1,1,0,1
11006149,Apartment,Entire home/apt,1,2,1,1
10851007,House,Private room,4,1,1,2
10153739,Apartment,Entire home/apt,3,1,1,1
10153536,Apartment,Entire home/apt,3,1,1,1
18345436,Condominium,Entire home/apt,6,1,3,3
19160261,Apartment,Entire home/apt,5,2,2,1
6629929,Apartment,Private room,2,1,1,1
14930357,Apartment,Private room,2,1,1,1
19141431,Apartment,Private room,2,1,1,1
1092093,Apartment,Entire home/apt,3,2,1,1
1426711,Condominium,Private room,5,1,2,4
21014475,Apartment,Shared room,2,1,1,1
4160585,House,Private room,1,1,1,1
9824155,Apartment,Private room,2,1,1,1
13624971,Apartment,Private room,1,2.5,1,1
13746034,Apartment,Private room,2,1,1,1
12707324,Apartment,Private room,1,1,1,1
9903,Apartment,Entire home/apt,2,1,1,1
19506279,Apartment,Private room,2,1,1,1
11313921,House,Private room,1,1,1,1
19980998,Apartment,Private room,1,1,1,1
21109844,Apartment,Private room,1,1,5,1
13525610,House,Private room,1,1,1,1
19173476,Apartment,Entire home/apt,5,2,2,2
5526487,Apartment,Entire home/apt,6,2,3,3
19177794,Other,Entire home/apt,3,1,1,2
19561932,Condominium,Private room,2,1,1,1
18228183,Apartment,Entire home/apt,1,1,0,1
20173397,Apartment,Private room,1,1,1,1
14196983,Apartment,Entire home/apt,2,1,2,3
6611126,Apartment,Private room,1,2,1,1
19177986,Other,Entire home/apt,4,2,2,3
18599691,Apartment,Private room,1,2,6,1
5267396,Apartment,Entire home/apt,2,1,1,1
19456107,Apartment,Entire home/apt,5,2,2,1
5904992,Apartment,Private room,2,2,1,1
19455243,Apartment,Entire home/apt,3,1,0,1
19455818,Apartment,Entire home/apt,5,2,2,1
16986429,Apartment,Private room,1,1,1,1
9428208,Apartment,Entire home/apt,5,1,5,4
7871576,Apartment,Private room,1,1,1,1
5660081,Loft,Private room,2,1,1,1
13673021,Apartment,Entire home/apt,4,1,1,1
14670311,House,Private room,1,1,1,1
20355929,Apartment,Entire home/apt,7,2,3,3
19159772,Apartment,Entire home/apt,1,1,1,1
19159488,Apartment,Entire home/apt,3,1,0,1
15429888,Apartment,Entire home/apt,3,1,1,1
15678463,Apartment,Private room,1,1,1,1
20355160,Apartment,Entire home/apt,5,1,2,2
20771314,Apartment,Private room,2,1,1,1
19056187,House,Private room,2,1,1,1
19175044,Other,Entire home/apt,2,1,0,2
1471308,Apartment,Private room,2,1,1,1
19453190,Apartment,Entire home/apt,3,1,1,1
5222368,House,Private room,1,1,1,1
7978515,Apartment,Private room,2,1,1,1
17927755,Apartment,Private room,2,1,1,1
20379893,Apartment,Entire home/apt,5,2,2,2
7825207,Apartment,Entire home/apt,8,2,3,5
7562235,Apartment,Private room,2,1,1,1
7050397,House,Private room,1,1,1,1
13062783,Apartment,Private room,1,1,1,1
20353612,Apartment,Entire home/apt,7,2,3,3
19173890,Apartment,Entire home/apt,5,2,2,1
19157252,Apartment,Entire home/apt,3,1,0,1
12849985,Apartment,Private room,1,1,1,1
20350676,Apartment,Entire home/apt,2,1,0,1
20353770,Apartment,Entire home/apt,7,2,3,3
5967936,Apartment,Entire home/apt,2,1,1,1
8015793,Loft,Entire home/apt,6,1,1,1
20353421,Apartment,Entire home/apt,7,2,3,3
13531200,House,Private room,1,1,1,1
9710999,Apartment,Private room,2,1,1,1
20352865,Apartment,Entire home/apt,7,2,3,3
13391024,House,Private room,2,1,1,1
18770614,Apartment,Private room,4,1,1,2
20352746,Apartment,Entire home/apt,7,2,3,3
17190525,Apartment,Entire home/apt,5,1,2,3
13673056,Apartment,Entire home/apt,2,1,0,1
20730497,Condominium,Private room,1,1,1,1
9407895,Apartment,Shared room,1,1,1,1
